wkt_geom,borough,tax_block,tax_lot,bbl,billbbl,cd,house_numb,street_nam,address,parcel_nam,agency,use_code,use_type,non_city_o,category_c,expanded_c,excatdesc,leased_pro,final_comm,agreement,x_coordina,y_coordina,latitude,longitude
Point (-74.00514499999999884 40.72412299999999874),1,477,1001,1004771001,1004777501,102,121-7,6 AVENUE,121-7 6 AVENUE,,EDUC,213,ACADEMIC HIGH SCHOOL,P,1,2,EDUCATIONAL USE,L,,,982824,203094,40.724123,-74.005145
Point (-73.99233999999999867 40.72968600000000094),1,545,26,1005450026,1005450026,102,10-Feb,ASTOR PLACE,2-10 ASTOR PLACE,,EDUC,213,ACADEMIC HIGH SCHOOL,P,1,2,EDUCATIONAL USE,L,,,986373,205121,40.729686,-73.99234
Point (-73.99573499999999626 40.73642000000000252),1,577,19,1005770019,1005770019,102,00034-42,WEST 14 STREET,00034-42 WEST 14 STREET,,EDUC,213,ACADEMIC HIGH SCHOOL,P,1,2,EDUCATIONAL USE,L,,,985432,207574,40.73642,-73.995735
Point (-74.00798799999999744 40.72627500000000111),1,597,12,1005970012,1005970012,102,315,HUDSON STREET,315 HUDSON STREET,,NYPD,120,AGENCY OFFICE,P,1,1,OFFICE USE,L,,,982036,203878,40.726275,-74.007988
Point (-73.99587999999999965 40.72151800000000321),1,480,21,1004800021,1004800021,102,34,SPRING STREET,34 SPRING STREET,JUDSON HEALTH CENTER,HHC,630,AMBULATORY HEALTH FACILITY,O,1,5,HEALTH & SOCIAL SERVICES USE,,,,985392,202145,40.721518,-73.99588
Point (-73.99939700000000187 40.73450100000000162),1,606,1,1006060001,1006060001,102,425,AVENUE OF AMERICAS,425 AVENUE OF AMERICAS,JEFFERSON MKT LIBRARY/ PARK,NYPL,332,BRANCH LIBRARY,C,1,3,CULTURAL & RECREATIONAL USE,,,,984417,206875,40.734501,-73.999397
Point (-74.00533299999999315 40.72989499999999907),1,582,18,1005820018,1005820018,102,66,LEROY STREET,66 LEROY STREET,HUDSON PARK LIBRARY,NYPL,332,BRANCH LIBRARY,C,1,3,CULTURAL & RECREATIONAL USE,,,,982772,205197,40.729895,-74.005333
Point (-73.99939700000000187 40.73450100000000162),1,606,1,1006060001,1006060001,102,425,AVENUE OF AMERICAS,425 AVENUE OF AMERICAS,JEFFERSON MKT LIBRARY/ PARK,PARKS,1330,CEMETERY,C,1,3,CULTURAL & RECREATIONAL USE,,,,984417,206875,40.734501,-73.999397
Point (-74.01044799999999668 40.72585999999999729),1,595,87,1005950087,1005950087,102,553,CANAL STREET,553 CANAL STREET,MANHATTAN 1/2/5 SALT STORAGE,SANIT,940,COMBINED MAINTENANCE/STORAGE FACILITY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,981354,203727,40.72586,-74.010448
Point (-74.01023899999999855 40.72682300000000311),1,596,1002,1005961002,1005967501,102,500,WASHINGTON STREET,500 WASHINGTON STREET,MANHATTAN 1/2/5 GARAGES,SANIT,940,COMBINED MAINTENANCE/STORAGE FACILITY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE",,,,981412,204078,40.726823,-74.010239
Point (-74.00456499999999949 40.73801999999999879),1,625,34,1006250034,1006250034,102,29,8 AVENUE,29 8 AVENUE,JANE STREET GARDEN,PARKS,472,COMMUNITY GARDEN,C,1,3,CULTURAL & RECREATIONAL USE,,,,982985,208157,40.73802,-74.004565
Point (-74.00747599999999693 40.73130599999999646),1,603,49,1006030049,1006030049,102,75,MORTON STREET,75 MORTON STREET,75 MORTON CAMPUS,SCA,200,EDUCATIONAL FACILITY,O,1,2,EDUCATIONAL USE,,,,982178,205711,40.731306,-74.007476
Point (-74.00747599999999693 40.73130599999999646),1,603,49,1006030049,1006030049,102,75,MORTON STREET,75 MORTON STREET,75 MORTON CAMPUS,EDUC,200,EDUCATIONAL FACILITY,O,1,2,EDUCATIONAL USE,,,,982178,205711,40.731306,-74.007476
Point (-74.007552000000004 40.7315669999999983),1,603,53,1006030053,1006030053,102,109,BARROW STREET,109 BARROW STREET,75 MORTON MIDDLE SCHOOL (M297),SCA,200,EDUCATIONAL FACILITY,O,1,2,EDUCATIONAL USE,,,,982157,205806,40.731567,-74.007552
Point (-73.99832600000000582 40.7186579999999978),1,236,38,1002360038,1002360038,102,143,BAXTER STREET,143 BAXTER STREET,PS 130,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,984714,201103,40.718658,-73.998326
Point (-73.99916600000000244 40.73545099999999763),1,606,49,1006060049,1006060049,102,116,WEST 11 STREET,116 WEST 11 STREET,PS 41,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,984481,207221,40.735451,-73.999166
Point (-74.00597199999999987 40.73260700000000156),1,585,41,1005850041,1005850041,102,490,HUDSON STREET,490 HUDSON STREET,PS 3,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,982595,206185,40.732607,-74.005972
Point (-73.99809199999999976 40.71907499999999658),1,236,6,1002360006,1002360006,102,145,BAXTER STREET,145 BAXTER STREET,PS 130 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,C,1,2,EDUCATIONAL USE,,,,984779,201255,40.719075,-73.998092
Point (-73.99653299999999945 40.72296200000000255),1,495,7,1004950007,1004950007,102,253,LAFAYETTE STREET,253 LAFAYETTE STREET,LAD 20 DIV 1 BFI SPEC INV,FIRE,520,FIREHOUSE,C,1,4,PUBLIC SAFETY & CRIMINAL JUSTICE USE,,,,985211,202671,40.722962,-73.996533
Point (-74.00349300000000596 40.72805900000000179),1,520,37,1005200037,1005200037,102,227-29,AVENUE OF THE AMERICAS,227-29 AVENUE OF THE AMERICAS,ENG 24 LAD 5 BAT 2,FIRE,520,FIREHOUSE,C,1,4,PUBLIC SAFETY & CRIMINAL JUSTICE USE,,,,983282,204528,40.728059,-74.003493
Point (-73.99576799999999821 40.71981399999999951),1,470,12,1004700012,1004700012,102,363,BROOME STREET,363 BROOME STREET,ENG 55,FIRE,520,FIREHOUSE,C,1,4,PUBLIC SAFETY & CRIMINAL JUSTICE USE,,,,985423,201524,40.719814,-73.995768
Point (-74.00035699999999395 40.7344319999999982),1,610,51,1006100051,1006100051,102,132,WEST 10 STREET,132 WEST 10 STREET,SQUAD 18,FIRE,520,FIREHOUSE,C,1,4,PUBLIC SAFETY & CRIMINAL JUSTICE USE,,,,984151,206850,40.734432,-74.000357
Point (-73.99250600000000588 40.72699099999999817),1,531,49,1005310049,1005310049,102,42,GREAT JONES STREET,42 GREAT JONES STREET,ENG 33 LAD 9,FIRE,520,FIREHOUSE,C,1,4,PUBLIC SAFETY & CRIMINAL JUSTICE USE,,,,986327,204139,40.726991,-73.992506
Point (-74.00818300000000249 40.73225800000000163),1,604,33,1006040033,1006040033,102,641,WASHINGTON STREET,641 WASHINGTON STREET,ESD/ARCHIVE PRESERVATION,DCAS,1900,IN USE-TENANTED,M,1,6,LEASED OUT TO PRIVATE TENANT,,,L,981982,206058,40.732258,-74.008183
Point (-73.99475800000000447 40.72219100000000225),1,493,30,1004930030,1004930030,102,207,ELIZABETH STREET,207 ELIZABETH STREET,,HPD,1900,IN USE-TENANTED,C,1,6,LEASED OUT TO PRIVATE TENANT,,,S,985703,202390,40.722191,-73.994758
